center_x,center_y,center_z,psi
-2.0997605466272615,0.653165355865315,5.061266142346126,0.0
-2.117662988142137,0.6641776438584701,5.065671057543388,0.0
-2.1354028713728077,0.675558785279371,5.070223514111748,0.0
-2.1529794959790625,0.6873069829138543,5.074922793165542,0.0
-2.170392168065856,0.6994203815853237,5.07976815263413,0.0
-2.1876402002107085,0.7118970684477057,5.0847588273790825,0.0
-2.204722911490845,0.7247350732875106,5.089894029315004,0.0
-2.221639627510074,0.7379323688349504,5.09517294753398,0.0
-2.238389680425416,0.7514868710840727,5.100594748433629,0.0
-2.254972408973458,0.7653964396218398,5.106158575848736,0.0
-2.271387158496476,0.7796588779661393,5.111863551186456,0.0
-2.2876332809682607,0.7942719339126163,5.117708773565046,0.0
-2.3037101350197187,0.8092332998903418,5.1236933199561365,0.0
-2.3196170859641763,0.8245406133261857,5.129816245330474,0.0
-2.33535350582245,0.8401914570179114,5.136076582807164,0.0
-2.3509187733476287,0.8561833595158692,5.142473343806348,0.0
-2.3663122740495997,0.8725137955132691,5.149005518205308,0.0
-2.3815334002193183,0.8891801862449626,5.155672074497985,0.0
-2.3965815509527806,0.9061798998946449,5.162471959957858,0.0
-2.4114561321747665,0.9235102520104688,5.169404100804187,0.0
-2.426156556662276,0.941168505928931,5.176467402371572,0.0
-2.440682244067723,0.9591518732070412,5.183660749282817,0.0
